ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-01-03T10:30:00.180719955Z,2025-01-03T10:30:00.180553822Z,10,2,6905,A,A,1,92.000000000,100,130,166133,4825768,91.480000000,91.940000000,150,7,1,1,91.440000000,92.000000000,100,100,1,1,91.430000000,93.000000000,7,1,1,1,90.000000000,94.000000000,122,1,1,1,89.000000000,95.000000000,1,2,1,2,83.810000000,96.000000000,100,1,1,1,83.400000000,97.000000000,100,2,1,2,,99.950000000,0,100,0,1,,100.360000000,0,100,0,1,,,0,0,0,0,GILD
2025-01-03T10:30:00.230342154Z,2025-01-03T10:30:00.230176242Z,10,2,17709,C,B,0,107.680000000,16,130,165912,4825928,107.640000000,107.880000000,100,400,1,2,107.600000000,107.950000000,50,10,1,1,107.000000000,107.960000000,1,16,1,1,106.240000000,108.000000000,28,150,1,2,106.000000000,108.300000000,15,50,2,1,105.870000000,108.550000000,141,50,1,1,103.180000000,108.800000000,16,50,1,1,103.000000000,108.880000000,3,28,1,1,102.000000000,109.450000000,2,137,1,1,101.000000000,109.500000000,1,100,1,1,XOM
2025-01-03T10:30:00.269689882Z,2025-01-03T10:30:00.269523481Z,10,2,9155,A,A,1,242.460000000,8,130,166401,4826017,242.020000000,242.400000000,120,485,1,1,242.000000000,242.460000000,200,8,1,1,241.670000000,242.500000000,2,8,1,1,241.000000000,242.850000000,100,300,1,2,240.000000000,242.900000000,10,100,1,1,238.000000000,243.000000000,30,92,1,2,236.000000000,243.310000000,6,10,1,1,235.500000000,243.700000000,5,100,1,1,235.000000000,246.810000000,5,100,1,1,232.880000000,262.740000000,1,100,1,1,JPM
2025-01-03T10:30:00.269723921Z,2025-01-03T10:30:00.269557924Z,10,2,9155,C,A,2,242.500000000,8,130,165997,4826018,242.020000000,242.400000000,120,485,1,1,242.000000000,242.460000000,200,8,1,1,241.670000000,242.850000000,2,300,1,2,241.000000000,242.900000000,100,100,1,1,240.000000000,243.000000000,10,92,1,2,238.000000000,243.310000000,30,10,1,1,236.000000000,243.700000000,6,100,1,1,235.500000000,246.810000000,5,100,1,1,235.000000000,262.740000000,5,100,1,1,232.880000000,263.830000000,1,100,1,1,JPM
2025-01-03T10:30:00.533926749Z,2025-01-03T10:30:00.533760395Z,10,2,10888,C,B,0,420.730000000,200,130,166354,4826450,420.620000000,421.250000000,15,200,1,1,420.580000000,421.310000000,10,13,1,1,420.520000000,421.490000000,1,6,1,1,420.400000000,421.570000000,858,40,1,1,420.380000000,421.600000000,100,10,1,1,420.100000000,421.700000000,100,359,1,1,420.000000000,422.100000000,534,7,7,1,419.730000000,422.400000000,3,500,1,1,418.650000000,422.500000000,1,200,1,1,418.500000000,423.500000000,1,600,1,2,MSFT
2025-01-03T10:30:00.533940017Z,2025-01-03T10:30:00.533773233Z,10,2,10888,A,B,0,420.690000000,200,130,166784,4826451,420.690000000,421.250000000,200,200,1,1,420.620000000,421.310000000,15,13,1,1,420.580000000,421.490000000,10,6,1,1,420.520000000,421.570000000,1,40,1,1,420.400000000,421.600000000,858,10,1,1,420.380000000,421.700000000,100,359,1,1,420.100000000,422.100000000,100,7,1,1,420.000000000,422.400000000,534,500,7,1,419.730000000,422.500000000,3,200,1,1,418.650000000,423.500000000,1,600,1,2,MSFT
2025-01-03T10:30:00.534044225Z,2025-01-03T10:30:00.533878528Z,10,2,10888,C,B,0,420.690000000,200,130,165697,4826452,420.620000000,421.250000000,15,200,1,1,420.580000000,421.310000000,10,13,1,1,420.520000000,421.490000000,1,6,1,1,420.400000000,421.570000000,858,40,1,1,420.380000000,421.600000000,100,10,1,1,420.100000000,421.700000000,100,359,1,1,420.000000000,422.100000000,534,7,7,1,419.730000000,422.400000000,3,500,1,1,418.650000000,422.500000000,1,200,1,1,418.500000000,423.500000000,1,600,1,2,MSFT
2025-01-03T10:30:00.534056838Z,2025-01-03T10:30:00.533890197Z,10,2,10888,A,B,0,420.660000000,200,130,166641,4826453,420.660000000,421.250000000,200,200,1,1,420.620000000,421.310000000,15,13,1,1,420.580000000,421.490000000,10,6,1,1,420.520000000,421.570000000,1,40,1,1,420.400000000,421.600000000,858,10,1,1,420.380000000,421.700000000,100,359,1,1,420.100000000,422.100000000,100,7,1,1,420.000000000,422.400000000,534,500,7,1,419.730000000,422.500000000,3,200,1,1,418.650000000,423.500000000,1,600,1,2,MSFT
2025-01-03T10:30:00.865950028Z,2025-01-03T10:30:00.865781973Z,10,2,10888,C,B,0,420.660000000,200,130,168055,4826632,420.620000000,421.250000000,15,200,1,1,420.580000000,421.310000000,10,13,1,1,420.520000000,421.490000000,1,6,1,1,420.400000000,421.570000000,858,40,1,1,420.380000000,421.600000000,100,10,1,1,420.100000000,421.700000000,100,359,1,1,420.000000000,422.100000000,534,7,7,1,419.730000000,422.400000000,3,500,1,1,418.650000000,422.500000000,1,200,1,1,418.500000000,423.500000000,1,600,1,2,MSFT
2025-01-03T10:30:00.946403704Z,2025-01-03T10:30:00.946237498Z,10,2,17709,A,B,0,107.750000000,8,130,166206,4826678,107.750000000,107.880000000,8,400,1,2,107.640000000,107.950000000,100,10,1,1,107.600000000,107.960000000,50,16,1,1,107.000000000,108.000000000,1,150,1,2,106.240000000,108.300000000,28,50,1,1,106.000000000,108.550000000,15,50,2,1,105.870000000,108.800000000,141,50,1,1,103.180000000,108.880000000,16,28,1,1,103.000000000,109.450000000,3,137,1,1,102.000000000,109.500000000,2,100,1,1,XOM
2025-01-03T10:30:00.959794652Z,2025-01-03T10:30:00.959628354Z,10,2,17709,C,B,0,107.750000000,8,130,166298,4826683,107.640000000,107.880000000,100,400,1,2,107.600000000,107.950000000,50,10,1,1,107.000000000,107.960000000,1,16,1,1,106.240000000,108.000000000,28,150,1,2,106.000000000,108.300000000,15,50,2,1,105.870000000,108.550000000,141,50,1,1,103.180000000,108.800000000,16,50,1,1,103.000000000,108.880000000,3,28,1,1,102.000000000,109.450000000,2,137,1,1,101.000000000,109.500000000,1,100,1,1,XOM
2025-01-03T10:30:00.969167202Z,2025-01-03T10:30:00.969000949Z,10,2,10888,A,B,0,420.660000000,200,130,166253,4826697,420.660000000,421.250000000,200,200,1,1,420.620000000,421.310000000,15,13,1,1,420.580000000,421.490000000,10,6,1,1,420.520000000,421.570000000,1,40,1,1,420.400000000,421.600000000,858,10,1,1,420.380000000,421.700000000,100,359,1,1,420.100000000,422.100000000,100,7,1,1,420.000000000,422.400000000,534,500,7,1,419.730000000,422.500000000,3,200,1,1,418.650000000,423.500000000,1,600,1,2,MSFT
2025-01-03T10:30:00.979419532Z,2025-01-03T10:30:00.979253371Z,10,2,16727,C,B,1,314.860000000,25,130,166161,4826702,314.920000000,315.450000000,8,8,1,1,313.500000000,315.510000000,1,25,1,1,310.000000000,320.000000000,1,5,1,1,300.000000000,320.210000000,3,1,1,1,290.000000000,321.950000000,2,2,1,1,286.660000000,344.200000000,100,100,1,1,285.250000000,345.620000000,100,100,1,1,260.000000000,,2,0,1,0,,,0,0,0,0,,,0,0,0,0,V
2025-01-03T10:30:00.997100447Z,2025-01-03T10:30:00.996932833Z,10,2,16244,T,B,0,382.790000000,80,130,167614,4826704,382.710000000,382.790000000,10,80,1,1,382.680000000,382.920000000,41,50,2,1,382.230000000,382.990000000,25,1,1,1,382.110000000,383.000000000,300,31,1,2,382.100000000,383.020000000,20,20,2,1,382.010000000,383.080000000,2,1,1,1,382.000000000,383.090000000,1192,6,10,1,381.900000000,383.100000000,23,12,1,2,381.880000000,383.200000000,10,1000,1,2,381.800000000,383.300000000,12,120,1,3,TSLA
2025-01-03T10:30:00.997100447Z,2025-01-03T10:30:00.996932833Z,10,2,16244,C,A,0,382.790000000,80,130,167614,4826704,382.710000000,382.920000000,10,50,1,1,382.680000000,382.990000000,41,1,2,1,382.230000000,383.000000000,25,31,1,2,382.110000000,383.020000000,300,20,1,1,382.100000000,383.080000000,20,1,2,1,382.010000000,383.090000000,2,6,1,1,382.000000000,383.100000000,1192,12,10,2,381.900000000,383.200000000,23,1000,1,2,381.880000000,383.300000000,10,120,1,3,381.800000000,383.420000000,12,140,1,1,TSLA
2025-01-03T10:30:00.997813206Z,2025-01-03T10:30:00.997647255Z,10,2,16244,C,A,7,383.200000000,500,130,165951,4826722,382.710000000,382.920000000,10,50,1,1,382.680000000,382.990000000,41,1,2,1,382.230000000,383.000000000,25,31,1,2,382.110000000,383.020000000,300,20,1,1,382.100000000,383.080000000,20,1,2,1,382.010000000,383.090000000,2,6,1,1,382.000000000,383.100000000,1192,12,10,2,381.900000000,383.200000000,23,500,1,1,381.880000000,383.300000000,10,120,1,3,381.800000000,383.420000000,12,140,1,1,TSLA
2025-01-03T10:30:01.000922555Z,2025-01-03T10:30:01.000756632Z,10,2,16244,C,A,3,383.020000000,20,130,165923,4826735,382.710000000,382.920000000,10,50,1,1,382.680000000,382.990000000,41,1,2,1,382.230000000,383.000000000,25,31,1,2,382.110000000,383.080000000,300,1,1,1,382.100000000,383.090000000,20,6,2,1,382.010000000,383.100000000,2,12,1,2,382.000000000,383.200000000,1192,500,10,1,381.900000000,383.300000000,23,120,1,3,381.880000000,383.420000000,10,140,1,1,381.800000000,383.600000000,12,1000,1,2,TSLA
2025-01-03T10:30:01.001016501Z,2025-01-03T10:30:01.000850309Z,10,2,16244,A,A,3,383.070000000,21,130,166192,4826736,382.710000000,382.920000000,10,50,1,1,382.680000000,382.990000000,41,1,2,1,382.230000000,383.000000000,25,31,1,2,382.110000000,383.070000000,300,21,1,1,382.100000000,383.080000000,20,1,2,1,382.010000000,383.090000000,2,6,1,1,382.000000000,383.100000000,1192,12,10,2,381.900000000,383.200000000,23,500,1,1,381.880000000,383.300000000,10,120,1,3,381.800000000,383.420000000,12,140,1,1,TSLA
